serial_no,exam_name,question,options/A,options/B,options/C,options/D,answer,explanation
869,MAT 2020-2021,মানুষের সোমাটিক কোষে কয়টি অটোসোম থাকে?,23,22,44,46,C,"সোমাটিক কোষ - 44
জনন কোষ - 22"
870,MAT 2020-2021,গ্রোথ হরমোন কোথায় তৈরি হয়?,Thalamus,Hypothalamus,Adrenal gland,Pituitary gland,D,"অগ্র পিটুইটারি গ্রন্থি থেকে বৃদ্ধিপোষক হরমোন (STH) বা Growth hormone তৈরি ও নিঃসৃত হয়। অগ্র পিটুইটারি গ্রন্থি থেকে আর যে সব হরমোন নিঃসৃত হয়- Prolactin, LH, ACTH, TSH, FSH ।"
871,MAT 2020-2021,Golgi complex কোনটি সংশ্লেষ (synthesis) করে না?,Sperm,Ribosome,Lysosome,Enzyme,B,"Golgi complex থেকে যা যা তৈরি বা সংশ্লেষিত (synthesis) হয়-
i. লাইসোসোম ও ভিটামিন
ii. অ-প্রোটিন জাতীয় পদার্থ
iii. প্রোটিন, হেমিসেলুলোেজ, মাইক্রোফাইব্রিল
iv. কোষপ্লেট
v. শুক্রাণু (Sperm) এর অ্যাক্রোসোম
vi. এনজাইম ও হরমোন/প্রাণরস (ক্ষরণ)"
872,AFMC 2019-2020,পেসমেকারে কোন ব্যাটারি ব্যবহৃত হয়?,লিথিয়াম,লেড,পটাশিয়াম,কার্বনিয়াম,A,"একটি লিথিয়াম ব্যাটারি, কম্পিউটারাইজড জেনারেটর ও শীর্ষেসেন্সরযুক্ত কতগুলো তার নিয়ে একটি পেসমেকার গঠিত হয়।"
873,AFMC 2019-2020,দ্বিপদ নামকরণের জনক কে?,ক্যারোলাস লিনিয়াস,বেন্থাম হুকার,থিওফ্রাস্টাস,মেন্ডেল,A,"দ্বি-পদ নামকরণের জনক: ১৭৫৮ সালে সুইডিস বিজ্ঞানী ক্যারোলাস লিনিয়াস
প্রাণিদের দ্বিপদ নামকরণের নীতি প্রবর্তন করেন। এ জন্য তাকে দ্বি-পদ নামকরনের
জনক বলা হয়।"
874,AFMC 2019-2020,অন্তঃশ্বসন প্রধানত কোষের কোথায় সংঘটিত হয়?,রাইবোজোম,মাইটোকন্ড্রিয়া,প্রোটপ্লাজম,প্লাস্টিক,B,সবাত শ্বসনের দ্বিতীয় পর্যায় ক্রেবস চক্র ও ইলেক্ট্রন ট্রান্সপোর্টচেইনের বিক্রিয়া সমূহ মাইটোকন্ড্রিয়াতে সংঘটিত হয়। এর মাধ্যমে ATP(Adenosine Triphosphate) অণুসংশ্লেষ করে যা সকল শক্তির উৎস বলে মাইটোকন্ড্রিয়াকে Powerhouse of Cell বা কোষের শক্তিঘর বলে।
875,AFMC 2019-2020,নিচের কোনটি হিমোসিলোমেট?,কর্ডাটা,অ্যানিলিডা,আর্থ্রোপোডা,কোনটিই নয়,C,"আবার যখন প্রাণীদেহের প্রকৃত সিলোমটি প্রবাহমান তরল পূর্ণথাকে,তখন তাকে হিমোসিল বলে। এ ধরনের প্রাণীদের হিমোসিলোমেট বলা হয়। যেমন-তেলাপোকা,শামুক ইত্যাদি। অপ্রতিসমতা বা
অপ্রতিসাম্য[Asymmetry] যখন কোন প্রাণীদেহকে দুই বা ততোধিক সদৃশ অংশে ভাগ করা যায় না,তখন তাকে অপ্রতিসাম্য বলে।"
876,AFMC 2019-2020,কোনটির 6 টি কোডন আছে?,লিউসিন,পাইসিন,GCU,অ্যাডেনিন,A,লিউসিনে ৬ টি কোডন আছে।
877,AFMC 2019-2020,অত্যাবশ্যকীয় অ্যামিনো এসিড নয় কোনটি?,হিস্টিডিন,আইসোলিউসিন,লাইসিন,অ্যালানিন,C,"খাদ্যে উপস্থিতির প্রয়োজনীয়তার ভিত্তিতে অ্যামিনো অ্যাসিড দুই ভাগে বিভক্ত। যথা-
১। অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড। এরা দেহাভ্যন্তরে সংশ্লেষিত হয় না। উদাহরণ- লিউসিন, আইসোলিউসিন, লাইসিন, থ্রিওনিন, ভ্যালিন, মেথিওনিন, ফিনাইল অ্যালানিন এবং ট্রিপটোফ্যান (৮টি)। শিশুদের জন্য অত্যাবশ্যকীয় অ্যামিনো অ্যাসিড ১০টি। অতিরিক্ত- আরজিনিন ও হিস্টিডিন।
২। অনাত্যাবশ্যকীয় অ্যামিনো অ্যাসিড: এরা দেহাভ্যন্তরে সংশ্লেষিত হতে পারে। সংখ্যায় ১২টি এবং শিশুদের ক্ষেত্রে ১০টি।"
878,AFMC 2019-2020,ইনসুলিন কোথা থেকে নিঃসৃত হয়?,বিটা কোষ থেকে,আলফা কোষ থেকে,লিভার হতে,পিটুইটারী গ্ল্যান্ড হতে,A,ইনসুলিন অগ্ন্যাশয়ের ইনসুলিন নিঃসরণকারী কোষগুলো (আইল্যেটস অব ল্যাঙ্গারহেন্স-এর বিটা কোষ) থেকে নিঃসৃত হয়।
879,AFMC 2019-2020,মৎস্যখনি বলা হয়?,পালা,হালদা,পেরেক,কালামা,B,"হালদা নদী বাংলাদেশের পূর্ব-পাহাড়ি অঞ্চলের খাগড়াছড়ি ও চট্টগ্রাম জেলার একটি নদী। নদীটির দৈর্ঘ্য ১০৬ কিলোমিটার, গড় প্রস্থ ১৩৪ মিটার এবং নদীটির প্রকৃতি সর্পিলাকার। বাংলাদেশ পানি উন্নয়ন বোর্ডবা ""পাউবো"" কর্তৃক হালদা নদীর প্রদত্ত পরিচিতি নম্বর পূর্ব-পাহাড়ি অঞ্চলের নদী নং ১৬।এক মৎস্যখনি বলা হয়।"
880,AFMC 2019-2020,অ্যাপেন্ডিক্স কোথায় থাকে?,ক্ষুদ্রান্ত্র,সিকোমে,পাকস্থলি,লিভার,B,বৃহদান্ত্র ও ক্ষুদ্রান্ত্রের সংযোগস্থলে বৃহদান্ত্রের সঙ্গে যুক্ত একটি ছোট থলির মতো অঙ্গ থাকে। যাকে অ্যাপেন্ডিক্স বলা হয়। আমাদের দেহে এই অঙ্গের তেমন কোনো কাজ নেই। তবে বিশ্বের প্রায় ৫ শতাংশ মানুষের ক্ষেত্রে এই অঙ্গটি প্রাণঘাতী।
881,AFMC 2019-2020,পিত্তথলি কোথায় উন্মুক্ত হয়?,ক্ষুদ্রান্ত্রে,বৃহদ্রান্ত্রে,ডিওডেনামে,অগ্নাশয়ে,C,যকৃতের নিচের অংশে পিত্তথলি সংযুক্ত থাকে। এখানে পিত্তরস জমা হয়। পিত্তরস গাঢ় সবুজ বর্ণের এবং তিক্ত স্বাদ বিশিষ্ট। পিত্তরস প্রয়োজনে ডিউডেনামে এসে পরোক্ষভাবে পরিপাকে অংশ নেয়।
